Speaker,Voice_ID,Real_File,Synthetic_File,Cosine_Similarity
Speaker 1,8,8.wav,spk1_08.wav,0.5315
Speaker 1,19,19.wav,spk1_19.wav,0.415
Speaker 1,21,21.wav,spk1_21.wav,0.6281
Speaker 1,6,6.wav,spk1_06.wav,0.5506
Speaker 1,16,16.wav,spk1_16.wav,0.5098
Speaker 1,9,9.wav,spk1_09.wav,0.4996
Speaker 1,20,20.wav,spk1_20.wav,0.4653
Speaker 1,15,15.wav,spk1_15.wav,0.449
Speaker 1,23,23.wav,spk1_23.wav,0.5282
Speaker 1,11,11.wav,spk1_11.wav,0.4709
Speaker 1,22,22.wav,spk1_22.wav,0.4158
Speaker 1,3,3.wav,spk1_03.wav,0.4609
Speaker 1,12,12.wav,spk1_12.wav,0.5689
Speaker 1,18,18.wav,spk1_18.wav,0.6453
Speaker 1,14,14.wav,spk1_14.wav,0.6055
Speaker 1,17,17.wav,spk1_17.wav,0.4376
Speaker 1,7,7.wav,spk1_07.wav,0.5104
Speaker 1,4,4.wav,spk1_04.wav,0.0993
Speaker 1,5,5.wav,spk1_05.wav,0.4985
Speaker 1,13,13.wav,spk1_13.wav,0.4409
Speaker 1,10,10.wav,spk1_10.wav,0.3967
Speaker 1,2,2.wav,spk1_02.wav,0.4797
Speaker 1,25,25.wav,spk1_25.wav,0.3966
Speaker 1,24,24.wav,spk1_24.wav,0.6273
Speaker 1,1,1.wav,spk1_01.wav,0.3171
Speaker 2,44,44.wav,spk2_44.wav,-0.0241
Speaker 2,40,40.wav,spk2_40.wav,0.7162
Speaker 2,49,49.wav,spk2_49.wav,0.7245
Speaker 2,45,45.wav,spk2_45.wav,-0.0712
Speaker 2,29,29.wav,spk2_29.wav,-0.1106
Speaker 2,36,36.wav,spk2_36.wav,0.569
Speaker 2,28,28.wav,spk2_28.wav,0.6317
Speaker 2,33,33.wav,spk2_33.wav,0.7153
Speaker 2,48,48.wav,spk2_48.wav,0.6229
Speaker 2,32,32.wav,spk2_32.wav,0.6722
Speaker 2,26,26.wav,spk2_26.wav,0.6358
Speaker 2,38,38.wav,spk2_38.wav,0.5869
Speaker 2,39,39.wav,spk2_39.wav,0.7111
Speaker 2,37,37.wav,spk2_37.wav,0.7702
Speaker 2,41,41.wav,spk2_41.wav,0.5456
Speaker 2,50,50.wav,spk2_50.wav,0.5973
Speaker 2,30,30.wav,spk2_30.wav,0.6443
Speaker 2,34,34.wav,spk2_34.wav,0.6222
Speaker 2,31,31.wav,spk2_31.wav,0.6949
Speaker 2,47,47.wav,spk2_47.wav,0.6301
Speaker 2,46,46.wav,spk2_46.wav,0.6413
Speaker 2,27,27.wav,spk2_27.wav,0.7335
Speaker 2,43,43.wav,spk2_43.wav,-0.082
Speaker 2,35,35.wav,spk2_35.wav,0.7508
Speaker 2,42,42.wav,spk2_42.wav,0.5751
